WELL_ID,LAT,LONG,LL_REF,X,Y,XY_REF,TOP070_Pierre,TOP097_Mowry,TOP125_InyanKara,TOP145_Swift_lower,TOP170_Rierdon,TOP183_Piper,TOP201_Spearfish,TOP307_Tyler,TOP323_Otter,TOP330_Kibbey,TOP335_Charles,TOP340_MissionCanyon,TOP349_Lodgepole,TOP357_Bakken_upper,TOP362_Bakken_middle,TOP364_Bakken_lower,TOP368_ThreeForks,TOP372_Duprow,TOP377_DawsonBay,TOP382_Prairie,TOP383_Prairie_evaporite,TOP388_Winnipegosis,TOP408_Ashern,TOP419_Interlake,TOP445_RedRiver,TOP458_Winnipeg,TOP467_Icebox_base,TOP470_Deadwood,TOP542_Basement,TVT070_Pierre_2_Mowry,TVT097_Mowry_2_InyanKara,TVT125_InyanKara_2_Swift_lower,TVT145_Swift_lower_2_Rierdon,TVT170_Rierdon_2_Piper,TVT183_Piper_2_Spearfish,TVT201_Spearfish_2_Tyler,TVT307_Tyler_2_Otter,TVT323_Otter_2_Kibbey,TVT330_Kibbey_2_Charles,TVT335_Charles_2_MissionCanyon,TVT340_MissionCanyon_2_Lodgepole,TVT349_Lodgepole_2_Bakken_upper,TVT357_Bakken_upper_2_Bakken_middle,TVT362_Bakken_middle_2_Bakken_lower,TVT364_Bakken_lower_2_ThreeForks,TVT368_ThreeForks_2_Duprow,TVT372_Duprow_2_DawsonBay,TVT377_DawsonBay_2_Prairie,TVT382_Prairie_2_Prairie_evaporite,TVT383_Prairie_evaporite_2_Winnipegosis,TVT388_Winnipegosis_2_Ashern,TVT408_Ashern_2_Interlake,TVT419_Interlake_2_RedRiver,TVT445_RedRiver_2_Winnipeg,TVT458_Winnipeg_2_Icebox_base,TVT467_Icebox_base_2_Deadwood,TVT470_Deadwood_2_Basement
1,46.43037087,-105.0129553,NAD27 WKID 4267,-2275659,8653034,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-1779,-2283,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46.51690441,-104.7878375,NAD27 WKID 4267,-2216078,8679044,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-2020,,,,,,,,-4568,-4675,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,
3,46.71405259,-105.5944382,NAD27 WKID 4267,-2411598,8770011,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-1708,-2228,,-3007,,,,,,-4273,,,,,,,,,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,
4,46.51369092,-105.5308914,NAD27 WKID 4267,-2402971,8695939,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-1674,-2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,,,,,,,,,,,,,,,,,,,,,,,,,,
5,46.43067021,-105.2604918,NAD27 WKID 4267,-2337953,8659151,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-1712,-2213,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,,,,,,,,,,,,,,,,,,,,,,,,,,
6,46.52889264,-105.2141086,NAD27 WKID 4267,-2322822,8693563,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-1759,-2258,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,,,,,,,,,,,,,,,,,,,,,,,,,,
7,46.39789723,-105.1973234,NAD27 WKID 4267,-2323207,8645738,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-1952,-2479,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,,,,,,,,,,,,,,,,,,,,,,,,,,
8,46.36579094,-104.9285483,NAD27 WKID 4267,-2256614,8627636,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,,-2313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,46.31146622,-105.0125628,NAD27 WKID 4267,-2279656,8609966,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,,-2240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,46.45763148,-105.4247945,NAD27 WKID 4267,-2378328,8672986,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,,-2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,46.79027083,-105.6465246,NAD27 WKID 4267,-2421839,8798887,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,,,,-3054,,,,,,-4235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,46.83013635,-105.8197925,NAD27 WKID 4267,-2463692,8817747,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,,,,,,,,,,-4212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,48.56856485,-105.2811363,NAD27 WKID 4267,-2267600,9430768,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,48.57949566,-105.5212343,NAD27 WKID 4267,-2325673,9440497,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-1007,-1545,-2223,-2406,-2843,-3006,-3181,-3181,-3232,-3393,-4076,-4643,-4909,-4913,-4956,-4959,-5142,-5928,-5999,-6023,,-6090,-6095,-6572,-6870,,,,,537,678,183,438,163,174,,52,161,683,567,267,4,43,4,182,787,71,24,,,5,477,298,,,
15,48.63733566,-105.3249021,NAD27 WKID 4267,-2275827,9456518,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-1090,,,,,,,,-3341,-3488,-4200,-4759,-5054,-5059,-5114,-5121,-5296,-6103,-6174,-6198,,-6269,-6286,-6800,,,,,,,,,,,,,,147,712,559,295,4,56,6,176,807,72,24,,,17,514,,,,
16,48.69549033,-105.3953365,NAD27 WKID 4267,-2290890,9479094,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,48.72080662,-105.2969952,NAD27 WKID 4267,-2266096,9485826,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-1063,,-2222,-2425,-2850,-3031,-3256,-3257,-3275,-3450,-4112,-4731,-5002,-5012,-5067,-5078,-5271,-6099,-6180,-6199,,-6446,-6481,-6961,,,,,,,,203,425,181,229,1,18,175,662,619,272,10,55,11,193,828,81,19,,,34,480,,,,
18,48.74970574,-105.591914,NAD27 WKID 4267,-2336690,9503342,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,,,,-2057,,,,,,,,,-4607,-4613,-4664,-4669,-4841,,,,,,,,,,,,,,,,,,,,,,,,,5,51,5,172,,,,,,,,,,,
19,48.836482,-105.6194022,NAD27 WKID 4267,-2340201,9535156,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,48.85444533,-105.728211,NAD27 WKID 4267,-2365918,9544294,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-866,-1445,-1989,-2154,-2621,-2803,,,,-3002,-3517,-4074,-4346,-4352,-4406,-4418,-4595,-5461,-5530,-5551,-5551,-5614,-5626,,,,,,,580,544,165,467,183,,,,,515,557,272,6,54,12,176,866,69,22,,63,12,,,,,
21,48.86563088,-105.5152108,NAD27 WKID 4267,-2313888,9543062,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-965,-1492,-2080,-2252,-2722,-2905,,,-3073,-3177,-3859,-4325,-4579,-4591,-4652,-4670,-4861,-5726,-5797,-5816,-5934,-6011,-6020,-6459,,,,,,527,587,173,469,184,,,,104,683,465,255,11,61,18,191,865,72,18,118,77,10,439,,,,
22,48.86907458,-106.0024163,NAD27 WKID 4267,-2431808,9556462,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-640,,,,,-2565,,,,-2733,,,-3929,-3932,-3983,-3991,-4159,,,,,,,,,,,,,,,,,,,,,,,,,4,50,8,168,,,,,,,,,,,
23,48.88747572,-105.509805,NAD27 WKID 4267,-2311791,9550767,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,,,,,,-2875,,,,-3122,-3799,-4285,-4553,-4562,-4612,-4636,-4827,-5697,-5766,-5784,-5897,-5975,-5985,-6482,,,,,,,,,,,,,,,677,486,268,9,50,24,190,870,69,18,112,78,10,497,,,,
24,48.91612185,-105.3181066,NAD27 WKID 4267,-2264330,9556428,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,,,,,,,,,-2978,-3081,-3738,-4352,-4597,-4605,-4658,-4672,-4871,-5717,-5797,-5810,-6009,-6085,-6106,,,,,,,,,,,,,,,103,658,614,245,8,53,14,199,846,80,13,199,76,21,,,,,
25,48.941036,-105.7798641,NAD27 WKID 4267,-2375229,9576635,NAD27 Conus Albers WKID 5069 - Linear Unit is feet,,-801,-1383,-1905,-2108,-2565,-2737,,,,-2922,,,-4196,-4202,-4261,-4276,-4453,-5339,-5406,-5433,-5434,-5492,-5500,,,,,,,582,522,203,457,172,,,,,,,,6,59,15,177,886,67,27,1,58,7,,,,,
